sport,city_tier,current_registrations,days_since_open,total_days_available,max_teams,entry_fee,prize_pool,has_sponsor,format,fill_percentage,days_remaining,projected_registrations,fill_rate,label
football,2,9,14,20,16,1900,7000,1,league,56.2,6,15.5,0.966,will_fill
basketball,3,1,7,8,12,1500,4500,1,league,8.3,1,2.5,0.208,wont_fill
badminton,2,24,6,19,24,1800,11000,0,knockout,100.0,13,36.0,4.097,oversubscribed
football,1,4,7,16,20,1750,10500,0,knockout,20.0,9,18.6,0.928,will_fill
basketball,2,5,1,6,8,2700,6500,0,league,62.5,5,12.0,4.267,oversubscribed
kabaddi,1,6,4,17,10,600,31500,1,league+knockout,60.0,13,15.0,4.12,oversubscribed
badminton,2,5,6,17,10,2000,16000,1,knockout,50.0,11,15.0,2.002,oversubscribed
cricket,3,11,4,9,32,1400,12000,0,league,34.4,5,24.9,0.778,wont_fill
badminton,2,0,3,9,8,1250,21500,0,league+knockout,0.0,6,0.0,0.0,wont_fill
football,2,8,2,8,20,2150,11500,1,league+knockout,40.0,6,30.0,2.014,oversubscribed
cricket,2,4,2,6,24,1600,5500,0,knockout,16.7,4,21.5,0.896,will_fill
football,3,4,7,8,8,900,5000,0,knockout,50.0,1,5.6,0.7,wont_fill
football,1,7,16,18,10,3150,22500,0,knockout,70.0,2,12.6,1.26,oversubscribed
basketball,2,5,11,12,10,750,11000,0,knockout,50.0,1,5.2,0.516,wont_fill
basketball,1,11,2,16,16,3000,24500,0,league,68.8,14,24.0,8.439,oversubscribed
volleyball,1,2,11,16,12,850,27500,0,knockout,16.7,5,5.4,0.447,wont_fill
basketball,1,3,6,9,10,2200,34500,0,league+knockout,30.0,3,5.7,0.57,wont_fill
football,1,10,1,5,32,1650,43000,0,league,31.2,4,48.0,3.342,oversubscribed
badminton,1,13,7,7,14,3100,45500,0,knockout,92.9,0,12.5,0.896,will_fill
cricket,2,6,4,13,20,2750,12500,0,knockout,30.0,9,30.0,1.566,oversubscribed
basketball,2,1,11,14,8,1900,4000,1,knockout,12.5,3,1.4,0.172,wont_fill
football,3,5,18,21,12,850,10500,0,league,41.7,3,7.1,0.588,wont_fill
kabaddi,2,5,8,13,16,1800,18500,0,league,31.2,5,8.6,0.538,wont_fill
basketball,1,2,1,18,20,750,38000,1,knockout,10.0,17,30.0,4.74,oversubscribed
volleyball,1,6,4,5,12,2600,43500,0,knockout,50.0,1,10.7,0.894,will_fill
football,1,3,10,10,20,2500,40000,1,knockout,15.0,0,7.1,0.356,wont_fill
volleyball,2,3,8,15,16,3000,18500,1,league+knockout,18.8,7,5.1,0.317,wont_fill
kabaddi,2,14,3,14,24,2300,6000,1,league,58.3,11,36.0,2.621,oversubscribed
kabaddi,2,2,3,12,8,2700,24000,0,league,25.0,9,7.4,0.929,will_fill
cricket,1,9,13,19,16,3000,38000,0,knockout,56.2,6,23.6,1.477,oversubscribed
badminton,3,5,1,13,16,1450,12000,0,league+knockout,31.2,12,24.0,2.976,oversubscribed
basketball,2,7,2,21,14,2000,14500,1,league,50.0,19,21.0,6.825,oversubscribed
kabaddi,1,1,8,18,8,800,19000,0,league+knockout,12.5,10,3.3,0.407,wont_fill
football,2,9,5,11,32,1500,6500,0,knockout,28.1,6,29.4,0.918,will_fill
cricket,1,6,5,11,16,2550,23500,0,league+knockout,37.5,6,21.4,1.338,oversubscribed
football,2,17,13,15,24,300,16000,0,league+knockout,70.8,2,23.5,0.978,will_fill
volleyball,2,7,11,11,16,550,19000,1,knockout,43.8,0,4.6,0.291,wont_fill
badminton,2,9,5,10,24,1900,5000,0,league+knockout,37.5,5,19.2,0.801,wont_fill
basketball,2,14,3,14,16,2900,1500,1,knockout,87.5,11,24.0,5.594,oversubscribed
badminton,2,6,2,20,8,1850,6500,1,knockout,75.0,18,12.0,10.399,oversubscribed
basketball,2,10,17,17,20,1500,14000,0,league,50.0,0,8.8,0.441,wont_fill
cricket,2,2,6,10,8,1900,18500,0,knockout,25.0,4,6.2,0.779,wont_fill
volleyball,1,9,5,6,16,3800,47000,0,league,56.2,1,13.3,0.83,will_fill
badminton,3,2,1,11,8,1150,1500,0,knockout,25.0,10,12.0,2.43,oversubscribed
basketball,3,15,4,7,20,150,8500,0,league+knockout,75.0,3,26.2,1.309,oversubscribed
volleyball,2,3,4,8,6,950,21500,1,league,50.0,4,9.0,1.495,oversubscribed
badminton,2,7,18,18,12,550,3000,0,league+knockout,58.3,0,7.3,0.604,wont_fill
badminton,1,14,5,7,32,1850,17500,0,league,43.8,2,25.6,0.801,wont_fill
badminton,2,8,7,13,12,2400,15000,0,league+knockout,66.7,6,13.0,1.084,will_fill
basketball,3,5,4,6,8,700,10000,1,knockout,62.5,2,10.6,1.322,oversubscribed
badminton,2,6,4,18,16,1400,16000,0,league,37.5,14,24.0,1.868,oversubscribed
badminton,1,9,4,19,14,2050,36500,0,knockout,64.3,15,21.0,5.44,oversubscribed
kabaddi,2,7,8,14,10,700,21500,0,league,70.0,6,15.0,1.535,oversubscribed
badminton,1,10,11,15,12,4500,35000,1,knockout,83.3,4,18.0,1.859,oversubscribed
cricket,1,4,15,20,20,3550,44500,0,knockout,20.0,5,9.8,0.489,wont_fill
basketball,3,19,14,14,32,950,3000,0,league+knockout,59.4,0,21.1,0.661,wont_fill
football,1,11,3,5,14,3050,34500,0,league+knockout,78.6,2,21.0,2.008,oversubscribed
football,2,3,4,21,10,550,16000,0,knockout,30.0,17,15.0,3.133,oversubscribed
basketball,3,5,13,19,12,450,6500,0,league+knockout,41.7,6,7.8,0.648,wont_fill
basketball,3,2,1,18,8,1100,6500,0,league,25.0,17,12.0,3.92,oversubscribed
volleyball,2,6,14,18,12,2150,22000,0,league+knockout,50.0,4,9.6,0.797,wont_fill
football,1,17,12,12,24,1000,36500,1,league+knockout,70.8,0,15.6,0.65,wont_fill
cricket,1,15,1,11,32,2900,4000,0,knockout,46.9,10,48.0,11.248,oversubscribed
basketball,3,5,13,13,8,900,10000,1,league,62.5,0,4.2,0.522,wont_fill
badminton,1,11,1,11,12,4150,24000,0,knockout,91.7,10,18.0,16.944,oversubscribed
football,1,6,10,16,12,4100,47000,1,league,50.0,6,18.0,1.523,oversubscribed
badminton,2,3,6,8,8,2200,21000,0,league,37.5,2,4.7,0.585,wont_fill
cricket,1,7,4,5,16,4500,32000,0,knockout,43.8,1,14.4,0.898,will_fill
kabaddi,2,1,1,6,8,900,7000,0,league,12.5,5,5.6,0.698,wont_fill
kabaddi,2,15,6,12,20,1700,4500,0,knockout,75.0,6,30.0,1.695,oversubscribed
basketball,2,11,1,18,20,700,8500,0,league,55.0,17,30.0,11.746,oversubscribed
football,1,3,11,17,16,2950,22500,1,league,18.8,6,5.9,0.368,wont_fill
volleyball,1,9,9,20,16,1850,49000,0,league,56.2,11,24.0,1.61,oversubscribed
badminton,3,6,4,8,12,600,6000,0,league,50.0,4,11.9,0.994,will_fill
basketball,2,1,10,13,8,2550,16500,1,league,12.5,3,1.8,0.227,wont_fill
volleyball,2,9,6,6,16,1150,6500,0,knockout,56.2,0,10.1,0.632,wont_fill
basketball,2,3,5,14,16,1050,22000,0,knockout,18.8,9,12.3,0.767,wont_fill
kabaddi,3,0,10,13,10,1150,9500,0,knockout,0.0,3,0.8,0.08,wont_fill
kabaddi,2,6,1,16,16,600,7000,0,league,37.5,15,24.0,5.621,oversubscribed
cricket,2,10,16,16,16,1750,4500,0,knockout,62.5,0,8.9,0.555,wont_fill
kabaddi,1,13,2,6,16,1850,43000,1,knockout,81.2,4,24.0,4.753,oversubscribed
cricket,1,0,20,20,4,2850,47500,0,knockout,0.0,0,0.0,0.0,wont_fill
volleyball,1,3,2,8,8,4950,32000,1,league+knockout,37.5,6,12.0,1.904,oversubscribed
kabaddi,1,6,4,5,12,2600,4500,0,knockout,50.0,1,9.3,0.776,wont_fill
kabaddi,2,2,8,14,8,400,12500,1,league,25.0,6,5.4,0.669,wont_fill
badminton,1,5,9,18,10,2350,22000,0,league,50.0,9,14.3,1.428,oversubscribed
volleyball,1,4,6,11,14,4000,30500,0,league,28.6,5,9.3,0.666,wont_fill
basketball,3,3,18,20,32,850,500,0,knockout,9.4,2,6.0,0.188,wont_fill
cricket,1,4,2,15,24,3100,25500,0,knockout,16.7,13,36.0,2.623,oversubscribed
volleyball,2,1,1,14,8,1300,12500,0,knockout,12.5,13,12.0,2.179,oversubscribed
kabaddi,1,26,5,19,32,4500,17500,0,league+knockout,81.2,14,48.0,3.348,oversubscribed
badminton,1,1,12,14,4,2650,46000,0,knockout,25.0,2,2.0,0.508,wont_fill
kabaddi,2,4,6,6,12,2200,18500,1,league,33.3,0,4.5,0.378,wont_fill
cricket,2,3,1,10,20,700,21500,0,league+knockout,15.0,9,30.0,2.22,oversubscribed
cricket,1,4,7,21,8,3250,44500,1,league,50.0,14,12.0,3.586,oversubscribed
football,2,3,4,16,20,2250,24500,1,knockout,15.0,12,21.7,1.085,will_fill
badminton,3,10,15,18,16,250,9500,0,league,62.5,3,13.7,0.853,will_fill
basketball,2,0,3,10,6,2850,7500,0,league,0.0,7,0.0,0.0,wont_fill
volleyball,1,7,3,7,16,3000,16000,1,league+knockout,43.8,4,18.4,1.147,will_fill
volleyball,2,2,6,7,4,1150,3000,0,knockout,50.0,1,2.8,0.705,wont_fill
cricket,2,1,14,18,8,2450,12000,1,league,12.5,4,1.0,0.126,wont_fill
basketball,1,16,8,9,20,3250,19500,0,knockout,80.0,1,26.2,1.31,oversubscribed
cricket,1,2,3,13,10,4500,40000,1,knockout,20.0,10,15.0,2.038,oversubscribed
cricket,3,1,12,19,6,550,2000,0,knockout,16.7,7,2.1,0.344,wont_fill
volleyball,2,4,5,12,8,1950,13000,1,league,50.0,7,10.9,1.366,oversubscribed
badminton,2,14,2,13,32,2800,23500,1,knockout,43.8,11,48.0,3.709,oversubscribed
volleyball,2,11,3,19,24,1250,11000,0,league,45.8,16,36.0,2.578,oversubscribed
cricket,3,2,5,7,16,100,5000,0,league,12.5,2,4.4,0.272,wont_fill
cricket,1,12,1,6,16,3100,29000,0,knockout,75.0,5,24.0,9.918,oversubscribed
badminton,3,2,8,8,24,1350,7000,0,league,8.3,0,2.1,0.087,wont_fill
cricket,1,4,3,20,16,2050,23000,0,knockout,25.0,17,24.0,3.785,oversubscribed
basketball,3,10,7,14,24,950,7500,0,league+knockout,41.7,7,18.8,0.785,wont_fill
basketball,2,3,12,12,14,2050,6500,1,league,21.4,0,4.7,0.333,wont_fill
kabaddi,1,9,12,14,14,2350,23500,0,knockout,64.3,2,12.8,0.913,will_fill
kabaddi,2,21,2,13,32,1250,23500,1,league+knockout,65.6,11,48.0,3.956,oversubscribed
badminton,2,7,14,19,8,2900,21500,0,league+knockout,87.5,5,9.5,1.194,oversubscribed
cricket,1,2,7,11,10,1150,41500,1,league,20.0,4,6.9,0.686,wont_fill
kabaddi,1,9,11,12,16,4050,22500,0,knockout,56.2,1,11.8,0.735,wont_fill
badminton,1,6,2,8,8,4150,28000,0,knockout,75.0,6,12.0,4.763,oversubscribed
basketball,2,4,5,11,16,950,15500,1,league+knockout,25.0,6,11.0,0.687,wont_fill
badminton,3,2,3,15,16,1300,11500,0,league+knockout,12.5,12,7.3,0.454,wont_fill
badminton,2,15,2,21,16,2250,5000,0,league+knockout,93.8,19,24.0,8.947,oversubscribed
kabaddi,1,4,7,8,24,2000,13000,0,league+knockout,16.7,1,5.5,0.228,wont_fill
basketball,3,4,5,11,16,550,2000,0,league+knockout,25.0,6,7.5,0.47,wont_fill
cricket,3,9,7,9,14,150,2000,0,knockout,64.3,2,14.1,1.008,will_fill
cricket,1,0,5,11,8,1300,39500,0,league,0.0,6,0.0,0.0,wont_fill
badminton,2,6,10,10,12,500,4500,0,league+knockout,50.0,0,4.9,0.409,wont_fill
volleyball,1,5,8,14,6,4600,46500,0,league,83.3,6,9.0,1.999,oversubscribed
badminton,2,2,12,16,12,1100,12500,0,league,16.7,4,3.0,0.249,wont_fill
kabaddi,1,2,13,19,8,4700,9000,1,knockout,25.0,6,5.2,0.653,wont_fill
volleyball,3,5,1,12,12,1000,6000,1,league,41.7,11,18.0,4.026,oversubscribed
basketball,2,2,20,20,10,1250,18500,0,league,20.0,0,2.4,0.235,wont_fill
basketball,1,3,5,8,20,3300,34500,1,league,15.0,3,6.8,0.341,wont_fill
basketball,1,2,1,11,20,1500,24000,0,league,10.0,10,30.0,1.596,oversubscribed
badminton,1,21,7,12,32,1300,34000,0,league+knockout,65.6,5,42.5,1.329,oversubscribed
badminton,2,3,3,10,16,850,16500,1,knockout,18.8,7,13.2,0.824,will_fill
badminton,3,4,4,6,20,450,5000,0,knockout,20.0,2,6.3,0.315,wont_fill
kabaddi,3,3,7,8,16,500,9500,0,league,18.8,1,3.4,0.21,wont_fill
volleyball,1,4,7,19,12,2350,7500,0,knockout,33.3,12,16.9,1.41,oversubscribed
cricket,2,1,11,19,8,650,2000,0,league,12.5,8,2.6,0.329,wont_fill
badminton,2,5,14,14,16,2100,21000,1,league,31.2,0,6.3,0.393,wont_fill
badminton,1,21,1,5,32,1250,47000,1,knockout,65.6,4,48.0,7.493,oversubscribed
football,1,11,9,18,14,500,43500,0,league,78.6,9,21.0,3.261,oversubscribed
basketball,1,4,2,18,8,2200,33500,0,knockout,50.0,16,12.0,9.681,oversubscribed
volleyball,3,3,15,18,16,1300,3000,0,league+knockout,18.8,3,3.8,0.237,wont_fill
badminton,2,5,6,9,10,2750,7500,0,league+knockout,50.0,3,9.0,0.901,will_fill
volleyball,2,3,1,19,16,2900,12000,0,knockout,18.8,18,24.0,4.028,oversubscribed
basketball,1,2,10,16,4,2400,31500,0,knockout,50.0,6,5.6,1.41,oversubscribed
badminton,2,6,1,6,6,2150,20500,0,league+knockout,100.0,5,9.0,6.543,oversubscribed
volleyball,2,1,5,10,8,800,20500,0,knockout,12.5,5,2.7,0.334,wont_fill
volleyball,1,8,4,6,24,2600,28500,0,league+knockout,33.3,2,20.3,0.847,will_fill
football,2,10,11,15,16,1550,8500,0,knockout,62.5,4,18.6,1.161,oversubscribed
basketball,3,13,5,12,32,150,4500,0,knockout,40.6,7,31.5,0.986,will_fill
cricket,3,6,8,12,12,550,3000,0,league,50.0,4,11.4,0.951,will_fill
basketball,2,3,21,21,16,1200,12500,0,league+knockout,18.8,0,3.5,0.22,wont_fill
badminton,2,4,11,14,10,2200,8500,0,league,40.0,3,5.8,0.581,wont_fill
cricket,1,5,3,21,12,3050,13500,0,league,41.7,18,18.0,5.355,oversubscribed
kabaddi,1,5,11,13,16,4350,42500,1,league,31.2,2,9.1,0.566,wont_fill
basketball,2,6,4,11,8,450,15500,1,league+knockout,75.0,7,12.0,2.851,oversubscribed
badminton,1,9,10,11,16,3700,17000,1,league+knockout,56.2,1,10.7,0.666,wont_fill
football,1,8,5,7,12,4300,37500,1,knockout,66.7,2,18.0,1.74,oversubscribed
basketball,1,1,1,5,4,1500,30000,0,league,25.0,4,6.0,2.737,oversubscribed
badminton,2,3,6,8,16,1850,15500,1,league+knockout,18.8,2,5.1,0.321,wont_fill
volleyball,2,23,16,17,24,750,4000,1,knockout,95.8,1,23.8,0.992,will_fill
badminton,3,3,2,15,12,850,4500,0,league+knockout,25.0,13,15.3,1.279,oversubscribed
football,3,5,12,14,20,800,11500,0,league+knockout,25.0,2,9.3,0.464,wont_fill
badminton,2,6,6,17,20,2800,9000,1,knockout,30.0,11,24.9,1.244,oversubscribed
basketball,1,9,4,11,32,4150,40500,0,league,28.1,7,36.6,1.144,will_fill
football,3,3,9,15,20,800,9500,1,knockout,15.0,6,6.2,0.311,wont_fill
kabaddi,2,4,2,19,10,1350,12500,0,knockout,40.0,17,15.0,4.457,oversubscribed
volleyball,1,6,4,7,16,1000,22000,0,league,37.5,3,12.4,0.777,wont_fill
cricket,1,3,3,21,12,1900,12000,0,league+knockout,25.0,18,18.0,3.044,oversubscribed
volleyball,2,4,11,19,20,750,4000,0,knockout,20.0,8,7.6,0.379,wont_fill
basketball,2,8,3,6,16,1350,21500,0,league,50.0,3,18.6,1.165,oversubscribed
volleyball,3,4,7,9,8,500,6000,0,league,50.0,2,6.1,0.761,wont_fill
kabaddi,1,10,15,15,14,4250,24500,1,league+knockout,71.4,0,9.6,0.683,wont_fill
cricket,1,7,9,11,16,3050,16500,1,league,43.8,2,13.8,0.865,will_fill
cricket,3,2,5,6,4,1100,1500,0,knockout,50.0,1,2.7,0.668,wont_fill
football,1,7,9,19,12,1650,17500,0,league,58.3,10,18.0,2.006,oversubscribed
badminton,2,0,4,8,8,2100,15500,0,league+knockout,0.0,4,0.5,0.061,wont_fill
basketball,3,1,1,8,8,750,8000,0,league+knockout,12.5,7,6.3,0.788,wont_fill
football,2,7,6,18,12,450,5000,0,league,58.3,12,18.0,2.619,oversubscribed
cricket,1,1,5,10,8,4550,40500,0,knockout,12.5,5,3.7,0.46,wont_fill
kabaddi,1,1,9,11,8,2750,35000,0,knockout,12.5,2,2.7,0.335,wont_fill
badminton,3,8,6,7,16,400,3500,1,league,50.0,1,7.6,0.476,wont_fill
kabaddi,1,7,4,9,8,3650,31000,0,league,87.5,5,12.0,2.443,oversubscribed
basketball,1,10,5,13,16,2550,17000,1,league,62.5,8,24.0,2.627,oversubscribed
football,1,7,5,5,16,750,37000,0,league+knockout,43.8,0,8.4,0.523,wont_fill
volleyball,3,0,12,20,4,1100,2500,0,league+knockout,0.0,8,0.0,0.0,wont_fill
badminton,1,8,4,7,12,4450,39500,0,league,66.7,3,18.0,1.537,oversubscribed
cricket,3,9,6,6,20,850,2500,0,knockout,45.0,0,9.2,0.461,wont_fill
kabaddi,2,3,4,6,16,2300,15000,0,league,18.8,2,5.4,0.335,wont_fill
badminton,3,10,5,9,24,1350,8500,1,league+knockout,41.7,4,17.8,0.743,wont_fill
kabaddi,1,15,5,17,24,2600,17500,0,league,62.5,12,36.0,2.527,oversubscribed
badminton,1,22,10,15,32,600,36000,0,knockout,68.8,5,48.0,1.755,oversubscribed
football,2,3,6,21,8,2950,9000,1,league+knockout,37.5,15,12.0,2.001,oversubscribed
cricket,2,4,14,18,12,950,21000,0,league,33.3,4,7.7,0.643,wont_fill
kabaddi,2,3,3,8,10,600,2000,1,league+knockout,30.0,5,7.8,0.778,wont_fill
volleyball,2,10,6,6,20,1300,7000,0,league,50.0,0,9.8,0.488,wont_fill
cricket,1,6,20,21,12,3700,11000,0,knockout,50.0,1,9.3,0.777,wont_fill
basketball,2,8,5,12,16,2600,23000,1,knockout,50.0,7,24.0,1.76,oversubscribed
volleyball,2,16,6,20,24,600,18500,1,league,66.7,14,36.0,2.701,oversubscribed
football,3,7,8,9,10,950,10000,0,league,70.0,1,8.4,0.837,will_fill
football,2,9,8,13,10,1750,22500,0,knockout,90.0,5,15.0,2.019,oversubscribed
cricket,2,2,10,13,10,1000,3000,0,league+knockout,20.0,3,5.4,0.541,wont_fill
basketball,1,1,2,9,6,3700,21500,0,knockout,16.7,7,8.4,1.403,oversubscribed
basketball,2,5,7,13,10,2600,8000,0,league+knockout,50.0,6,9.7,0.965,will_fill
basketball,3,6,1,6,16,800,2000,0,knockout,37.5,5,24.0,2.122,oversubscribed
basketball,1,6,2,19,10,4250,36500,0,league,60.0,17,15.0,9.199,oversubscribed
cricket,2,4,19,19,6,1150,2000,0,league+knockout,66.7,0,4.2,0.7,wont_fill
football,3,5,3,6,20,150,6000,0,league,25.0,3,12.9,0.645,wont_fill
kabaddi,2,10,2,5,12,1300,20000,0,league+knockout,83.3,3,18.0,2.036,oversubscribed
basketball,2,1,3,15,16,1550,11000,0,league,6.2,12,6.0,0.376,wont_fill
basketball,3,5,8,17,24,1100,9000,0,league,20.8,9,10.8,0.448,wont_fill
football,1,3,3,14,10,4850,39500,0,league+knockout,30.0,11,15.0,2.083,oversubscribed
football,3,0,21,21,6,1450,4500,1,league+knockout,0.0,0,0.0,0.0,wont_fill
volleyball,1,6,17,17,14,4200,46500,0,league,42.9,0,6.0,0.429,wont_fill
basketball,1,6,6,17,8,1800,45000,1,league+knockout,75.0,11,12.0,4.181,oversubscribed
cricket,3,11,13,18,16,350,11500,1,league+knockout,68.8,5,19.3,1.208,oversubscribed
basketball,2,3,7,14,8,2100,10500,0,knockout,37.5,7,8.6,1.078,will_fill
basketball,2,3,4,6,6,350,19000,0,league+knockout,50.0,2,7.3,1.211,oversubscribed
volleyball,2,13,5,8,16,2450,10000,1,knockout,81.2,3,23.6,1.472,oversubscribed
volleyball,2,5,16,17,20,1150,21000,1,knockout,25.0,1,6.8,0.338,wont_fill
football,1,9,4,21,32,3450,23000,1,knockout,28.1,17,48.0,3.269,oversubscribed
basketball,1,4,1,6,12,3400,16500,1,league,33.3,5,18.0,3.24,oversubscribed
badminton,2,7,8,8,8,1200,16500,1,league,87.5,0,6.5,0.816,wont_fill
football,1,3,11,17,20,3600,8000,0,league+knockout,15.0,6,6.0,0.3,wont_fill
badminton,3,5,18,18,20,1050,6000,1,league+knockout,25.0,0,8.0,0.402,wont_fill
kabaddi,2,1,9,9,6,2450,7000,0,knockout,16.7,0,1.0,0.172,wont_fill
cricket,3,12,11,17,20,450,4500,0,league+knockout,60.0,6,20.9,1.044,will_fill
volleyball,3,1,19,21,16,1000,7500,1,knockout,6.2,2,0.9,0.057,wont_fill
volleyball,2,13,7,18,24,600,14000,1,knockout,54.2,11,36.0,1.893,oversubscribed
cricket,2,4,12,12,10,2250,16000,1,league+knockout,40.0,0,2.7,0.272,wont_fill
cricket,2,2,9,18,6,1000,8500,0,knockout,33.3,9,7.8,1.292,oversubscribed
cricket,1,1,4,5,6,3200,28000,0,league+knockout,16.7,1,2.1,0.356,wont_fill
volleyball,1,2,3,14,16,1300,24000,1,league+knockout,12.5,11,12.0,0.752,wont_fill
kabaddi,2,2,5,9,16,500,22000,0,league,12.5,4,3.3,0.207,wont_fill
volleyball,1,2,6,7,8,3400,26500,1,league+knockout,25.0,1,2.9,0.362,wont_fill
football,1,8,3,5,20,3650,19500,0,league+knockout,40.0,2,20.1,1.004,will_fill
volleyball,3,0,11,16,4,1000,500,0,league,0.0,5,0.0,0.0,wont_fill
badminton,2,2,4,13,16,2000,22500,1,league,12.5,9,6.1,0.381,wont_fill
volleyball,1,10,12,18,16,4650,13000,0,knockout,62.5,6,20.8,1.297,oversubscribed
kabaddi,3,4,15,17,8,1450,12000,1,league,50.0,2,4.8,0.598,wont_fill
football,2,13,3,6,16,2300,18000,0,league,81.2,3,24.0,2.164,oversubscribed
football,2,9,12,14,20,1450,20500,0,league,45.0,2,12.4,0.619,wont_fill
football,2,12,13,21,32,550,9500,1,knockout,37.5,8,30.5,0.954,will_fill
badminton,1,3,5,6,8,600,32000,0,league,37.5,1,3.7,0.456,wont_fill
cricket,3,3,2,10,8,1100,10000,1,league+knockout,37.5,8,12.0,2.237,oversubscribed
basketball,3,9,18,19,20,250,3000,0,league,45.0,1,11.4,0.57,wont_fill
kabaddi,2,17,6,6,24,1100,6000,0,league,70.8,0,16.6,0.693,wont_fill
basketball,3,7,2,19,10,1450,1500,0,league+knockout,70.0,17,15.0,4.858,oversubscribed
kabaddi,1,8,1,16,16,3800,18500,0,league,50.0,15,24.0,9.391,oversubscribed
kabaddi,1,14,1,11,20,4300,18500,1,knockout,70.0,10,30.0,11.759,oversubscribed
kabaddi,1,7,7,9,16,1400,13500,0,league,43.8,2,12.6,0.787,wont_fill
football,3,5,6,14,6,300,8000,0,league,83.3,8,9.0,2.492,oversubscribed
volleyball,1,8,6,20,16,1050,13000,0,league,50.0,14,24.0,2.19,oversubscribed
kabaddi,1,3,4,5,6,3900,17000,1,knockout,50.0,1,5.4,0.903,will_fill
football,3,3,10,10,6,1050,1000,1,knockout,50.0,0,2.5,0.413,wont_fill
volleyball,3,3,9,14,16,700,5000,0,league,18.8,5,3.7,0.233,wont_fill
basketball,2,5,3,9,8,400,13000,1,league+knockout,62.5,6,12.0,2.675,oversubscribed
basketball,3,14,6,18,20,750,8500,0,league+knockout,70.0,12,30.0,1.979,oversubscribed
cricket,2,1,17,19,6,2650,17000,0,league,16.7,2,1.9,0.319,wont_fill
volleyball,2,18,6,15,24,500,8000,0,knockout,75.0,9,36.0,2.257,oversubscribed
cricket,1,4,12,14,8,550,7500,0,knockout,50.0,2,8.7,1.089,will_fill
kabaddi,2,2,1,6,8,2700,9000,1,league,25.0,5,11.6,1.454,oversubscribed
badminton,2,2,2,10,4,2900,24000,0,league,50.0,8,6.0,3.068,oversubscribed
football,3,7,1,12,8,700,3500,0,league+knockout,87.5,11,12.0,9.33,oversubscribed
volleyball,3,3,9,20,10,1400,2000,0,knockout,30.0,11,6.7,0.671,wont_fill
cricket,1,19,6,9,24,950,30500,1,league,79.2,3,36.0,2.077,oversubscribed
badminton,3,6,1,18,16,1300,500,0,knockout,37.5,17,24.0,5.869,oversubscribed
kabaddi,1,1,1,11,8,3850,20500,1,league,12.5,10,12.0,2.005,oversubscribed
football,2,9,15,15,20,1500,13000,0,knockout,45.0,0,7.0,0.349,wont_fill
cricket,2,1,14,15,8,1950,12000,0,knockout,12.5,1,0.4,0.051,wont_fill
cricket,1,2,19,19,10,2000,32500,0,league,20.0,0,0.9,0.091,wont_fill
volleyball,1,4,8,13,12,650,17500,0,knockout,33.3,5,12.4,1.035,will_fill
kabaddi,2,1,15,15,8,2900,20000,1,knockout,12.5,0,1.2,0.155,wont_fill
basketball,2,2,8,14,8,3000,14000,0,league,25.0,6,4.0,0.496,wont_fill
volleyball,1,1,1,19,6,4600,28500,0,knockout,16.7,18,9.0,5.212,oversubscribed
volleyball,2,10,5,17,16,450,10500,0,knockout,62.5,12,24.0,2.789,oversubscribed
kabaddi,2,1,10,15,6,450,4000,1,league+knockout,16.7,5,1.3,0.221,wont_fill
badminton,1,4,4,11,8,4050,24500,1,knockout,50.0,7,12.0,2.3,oversubscribed
basketball,2,8,9,11,10,2850,12500,0,league,80.0,2,11.5,1.148,will_fill
volleyball,1,14,5,5,20,1100,19000,0,league,70.0,0,12.4,0.621,wont_fill
badminton,2,6,7,14,16,750,8500,0,knockout,37.5,7,14.7,0.918,will_fill
kabaddi,1,1,7,21,6,3950,44500,1,league,16.7,14,5.1,0.846,will_fill
badminton,2,7,6,9,8,2200,6000,1,league+knockout,87.5,3,11.2,1.399,oversubscribed
volleyball,2,6,4,16,8,600,15000,1,knockout,75.0,12,12.0,5.087,oversubscribed
kabaddi,1,2,3,7,4,2250,9000,1,knockout,50.0,4,6.0,1.936,oversubscribed
football,2,3,4,9,4,2750,19500,1,knockout,75.0,5,6.0,2.699,oversubscribed
volleyball,1,4,10,14,8,600,8000,1,knockout,50.0,4,7.7,0.967,will_fill
basketball,2,7,3,6,24,650,19000,1,knockout,29.2,3,20.5,0.853,will_fill
basketball,2,5,4,8,16,2650,2500,0,league,31.2,4,13.0,0.814,wont_fill
kabaddi,1,0,13,16,8,4950,27500,1,knockout,0.0,3,0.3,0.039,wont_fill
badminton,1,12,3,17,20,1200,33000,1,league+knockout,60.0,14,30.0,5.143,oversubscribed
cricket,1,4,13,16,10,1550,38500,1,league+knockout,40.0,3,7.3,0.734,wont_fill
cricket,2,1,9,17,10,2250,24500,0,knockout,10.0,8,2.5,0.249,wont_fill
basketball,3,6,11,13,14,1000,11500,0,league+knockout,42.9,2,6.9,0.495,wont_fill
football,1,5,7,18,8,1200,47500,0,knockout,62.5,11,12.0,3.985,oversubscribed
basketball,2,9,8,13,14,1850,16500,1,league,64.3,5,17.7,1.261,oversubscribed
badminton,1,6,13,19,12,2900,36500,0,knockout,50.0,6,14.7,1.224,oversubscribed
kabaddi,2,1,11,18,8,1450,14000,0,knockout,12.5,7,1.5,0.192,wont_fill
badminton,2,8,3,8,24,1600,21500,1,knockout,33.3,5,28.0,1.165,oversubscribed
